Tag title,HD folder,Geographical coordinates
Alemania/Dusseldorf/2023,/media/patito/seagate/Personal/Fotos/Camera/Europa/Alemania/Dusseldorf/2023/,51.2217;6.7762
Alemania/Dusseldorf/Diciembre 2007,/media/patito/seagate/Personal/Fotos/Camera/Europa/Alemania/Dusseldorf/Diciembre 2007/,51.2217;6.7762
Alemania/Frankfurt/Airport,/media/patito/seagate/Personal/Fotos/Camera/Europa/Alemania/Frankfurt/Airport/,50.1109;8.6821
Alemania/Hamburg/Mayo 2011 - MTR Waudit,/media/patito/seagate/Personal/Fotos/Camera/Europa/Alemania/Hamburg/Mayo 2011 - MTR Waudit/,53.5753;10.0153
Alemania/Kassel/Julio 2014 - Windscanner 1/Calibration,/media/patito/seagate/Personal/Fotos/Camera/Europa/Alemania/Kassel/Julio 2014 - Windscanner 1/Calibration/,51.3127;9.4797
Alemania/Kassel/Julio 2014 - Windscanner 1/City,/media/patito/seagate/Personal/Fotos/Camera/Europa/Alemania/Kassel/Julio 2014 - Windscanner 1/City/,51.3127;9.4797
Alemania/Kassel/Julio 2014 - Windscanner 1/Instruments,/media/patito/seagate/Personal/Fotos/Camera/Europa/Alemania/Kassel/Julio 2014 - Windscanner 1/Instruments/,51.3127;9.4797
Alemania/Kassel/Julio 2014 - Windscanner 1/Met_mast,/media/patito/seagate/Personal/Fotos/Camera/Europa/Alemania/Kassel/Julio 2014 - Windscanner 1/Met_mast/,51.3127;9.4797
Alemania/Kassel/Julio 2014 - Windscanner 1/Selfies,/media/patito/seagate/Personal/Fotos/Camera/Europa/Alemania/Kassel/Julio 2014 - Windscanner 1/Selfies/,51.3127;9.4797
Alemania/Kassel/Julio 2014 - Windscanner 1/Site_1,/media/patito/seagate/Personal/Fotos/Camera/Europa/Alemania/Kassel/Julio 2014 - Windscanner 1/Site_1/,51.3127;9.4797
Alemania/Kassel/Julio 2014 - Windscanner 1/Site_2,/media/patito/seagate/Personal/Fotos/Camera/Europa/Alemania/Kassel/Julio 2014 - Windscanner 1/Site_2/,51.3127;9.4797
Alemania/Kassel/Julio 2014 - Windscanner 1/Site_3,/media/patito/seagate/Personal/Fotos/Camera/Europa/Alemania/Kassel/Julio 2014 - Windscanner 1/Site_3/,51.3127;9.4797
Alemania/Kassel/Julio 2014 - Windscanner 1/Site_4,/media/patito/seagate/Personal/Fotos/Camera/Europa/Alemania/Kassel/Julio 2014 - Windscanner 1/Site_4/,51.3127;9.4797
Alemania/Kassel/Julio 2014 - Windscanner 1/Site_5,/media/patito/seagate/Personal/Fotos/Camera/Europa/Alemania/Kassel/Julio 2014 - Windscanner 1/Site_5/,51.3127;9.4797
Alemania/Kassel/Julio 2014 - Windscanner 1/Site_6,/media/patito/seagate/Personal/Fotos/Camera/Europa/Alemania/Kassel/Julio 2014 - Windscanner 1/Site_6/,51.3127;9.4797
Alemania/Kassel/Julio 2014 - Windscanner 1/Targets,/media/patito/seagate/Personal/Fotos/Camera/Europa/Alemania/Kassel/Julio 2014 - Windscanner 1/Targets/,51.3127;9.4797
Alemania/Kassel/Julio 2014 - Windscanner 1/WSv1,/media/patito/seagate/Personal/Fotos/Camera/Europa/Alemania/Kassel/Julio 2014 - Windscanner 1/WSv1/,51.3127;9.4797
Alemania/Kassel/Julio 2014 - Windscanner 1/WSv2,/media/patito/seagate/Personal/Fotos/Camera/Europa/Alemania/Kassel/Julio 2014 - Windscanner 1/WSv2/,51.3127;9.4797
Alemania/Kassel/Julio 2014 - Windscanner 2,/media/patito/seagate/Personal/Fotos/Camera/Europa/Alemania/Kassel/Julio 2014 - Windscanner 2/,51.3127;9.4797
Alemania/Kassel/Julio 2014 - Windscanner 3,/media/patito/seagate/Personal/Fotos/Camera/Europa/Alemania/Kassel/Julio 2014 - Windscanner 3/,51.3127;9.4797
Alemania/Kassel/Julio 2014 - Windscanner 4,/media/patito/seagate/Personal/Fotos/Camera/Europa/Alemania/Kassel/Julio 2014 - Windscanner 4/,51.3127;9.4797
Alemania/Munich/Oktoberfest 2008/Fiesta,/media/patito/seagate/Personal/Fotos/Camera/Europa/Alemania/Munich/Oktoberfest 2008/Fiesta/,48.1351;11.582
Alemania/Munich/Oktoberfest 2008/Nokia camera,/media/patito/seagate/Personal/Fotos/Camera/Europa/Alemania/Munich/Oktoberfest 2008/Nokia camera/,48.1351;11.582
